"",,,,Pág: 1
"",,,LOURENCO E SILVA LTDA,
"",,,CNPJ : 07626439000173 IE : 152496416,
"",,,9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"",,,"paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",,,CENTRO,
"",,,01/10/2025 07:40:32,
"",,,Lista de preços,
Tabela Preço : PADRÃO,,,Tipo de Saldo : Geral,
Descrição,,Ncm,No. Fabricante Fabricante Emp UN Estoque,Vlr. Venda
56004 - 11159-C33 - TORNEIRA COZINHA,,84818011,"9937586 MARCHEZAN 1 UN 3,00","80,89"
PAREDE VEDACAO PRESS,,,,
56045 - 1168 F61 PR TORN COZ PAR FITT,,84818019,"LORENZETTI 1 UN -3,00","64,19"
CX/0004,,,,
56044 - 1195 F61 PR TORN LAVAT BA FITT,,84818019,"LORENZETTI 1 UN 1,00","64,19"
CX/0004,,,,
56006 - 1416 1/2-C33 - REGISTRO PRESSAO,,84818095,"MARCHEZAN 1 UN 3,00","51,68"
VEDANTE DN15,,,,
56007 - 1509 3/4-C33 (SACO PLASTICO) -,,84818093,"MARCHEZAN 1 UN -7,00","85,11"
REGISTRO GAVETA LUXO DN20,,,,
56005 - 16046 - MECANISMO-VED.P/ TORN. PIST.,,84818011,"150015 MARCHEZAN 1 UN 0,00","29,26"
AMARELO,,,,
56001 - 16048 - MECANISMO-VED.P/ REG. 1416,,84818011,"150002 MARCHEZAN 1 UN 7,00","28,22"
PIST. AMARELO,,,,
56000 - 16049 - MECANISMO-MVS.P/ REG. 1414,,84818011,"150004 MARCHEZAN 1 UN 11,00","30,39"
PIST. AMARELO,,,,
56306 - 16149 - MECANISMO-MVS.P/ REG.1414,,84818011,"MARCHEZAN 1 UN 16,00","32,60"
PIST. CROMADO,,,,
56150 - 1654 CRUZETA C33 CROM.,,84818019,"11985 AGUIA 1 UN 5,00","18,37"
56003 - 33318 - DUCHA FRIA ARTICULADO 70MM,,84818019,"9941114 MARCHEZAN 1 UN 3,00","88,46"
ATENAS,,,,
55997 - 4790-C80 - TORNEIRA LAVATORIO,,84818011,"9934838 MARCHEZAN 1 UN 5,00","95,47"
BANCADA 90° BICA MO,,,,
55998 - 4795-C80 - TORNEIRA COZINHA,,84818011,"MARCHEZAN 1 UN 1,00","88,50"
BANCADA 90° BICA MOVEL VEDACAO NAO,,,,
COMPRESSIVEL 1/4 VOLTA,,,,
56002 - 6000 - KIT ACESSORIOS P/ BANHEIRO,,76152000,"38412 MARCHEZAN 1 UN 0,00","192,99"
ENCANTO,,,,
55999 - 9499 -C80 - TORN. COZINHA BANCADA,,84818011,"9937490 MARCHEZAN 1 UN 4,00","112,91"
GOURMET DUPLA F,,,,
27049 - ABAFADOR AUDIT PLUG SILIC - KALIPSO,,82055900,"920646 NOVA DISTR 1 UN 81,81","1,83"
53238 - ABAFADOR AUDITIVA - DELTAPLUS,,40159000,"190401 NOVA DISTR 1 UN -6,00","13,93"
55745 - ABRACAD INOX 13-19MM C/BORBOLETA,,73269090,"022273 TAMBASA AT 1 UN 26,00","3,04"
50661 - ABRACAD. ACO LAMP FLU 20/40/110 T8,,73269090,"180130 TAMBASA AT 1 UN 79,00","2,31"
"56588 - ABRACADEIRA (3/4"") (VERDE) 4G/5G",,84139190,"50200 ANAUGER 1 UN 9,00","12,10"
37508 - ABRACADEIRA ARGOLA 83-10 INCA,,73269090,"CENTER MAT 1 UN 9,00","5,93"
55706 - ABRACADEIRA BORBOLETA 19X27,,73269090,"0515.019.027 LOTUS 1 UN -52,00","4,58"
39993 - ABRACADEIRA CABIDEIRA GRANDE,,73269090,"CENTER MAT 1 UN 2,00","0,64"
40002 - ABRACADEIRA CABIDEIRA PEQUENA,,73269090,"CENTER MAT 1 UN 53,00","0,51"
40231 - ABRACADEIRA COLORIDA 10CM,,39269090,"57440/928 TRAMONTINA 1 UN 0,00","0,08"
40240 - ABRACADEIRA COLORIDA 15CM,,39269090,"57440/915 TRAMONTINA 1 UN -16,00","0,28"
"53462 - ABRACADEIRA COLORIDA 9,5CM",,39269090,"57440/909 TRAMONTINA 1 UN 0,00","0,32"
54316 - ABRACADEIRA INOX BORBOLETA 13-23,,73269090,"3710 LOTUS 1 UN -101,00","2,86"
54315 - ABRACADEIRA INOX BORBOLETA 14-27,,73269090,"3711 LOTUS 1 UN 234,00","2,98"
54314 - ABRACADEIRA INOX BORBOLETA 18-32,,73269090,"3712 LOTUS 1 UN 172,00","3,04"
55181 - ABRACADEIRA MANGOTE 1.1/2¿,,73269090,"45403 NEGRAO 1 UN 10,00","20,00"
48X56MM,,,,
55182 - ABRACADEIRA MANGOTE 1.1/4¿,,73269090,"45411 NEGRAO 1 UN 10,00","18,96"
39X47MM,,,,
"56246 - ABRACADEIRA NYLON 12,5X600MM",,39269090,"4202194 FOXLUX 1 CD 0,00","2,07"
"53434 - ABRACADEIRA NYLON 2,5X100MM",,39269090,"422851 FOXLUX 1 UN 0,00","0,11"
"54919 - ABRACADEIRA NYLON 2,5X120MM",,39269090,"149160 FOXLUX 1 UN 0,00","0,36"
"53435 - ABRACADEIRA NYLON 2,5X140MM",,39269090,"37185 FOXLUX 1 UN 0,00","0,33"
"53436 - ABRACADEIRA NYLON 2,5X150MM",,39269090,"422657 FOXLUX 1 UN 0,00","0,12"
"54921 - ABRACADEIRA NYLON 2,5X80MM",,39269090,"149454 FOXLUX 1 UN 0,00","0,19"
"55453 - ABRACADEIRA NYLON 3,5X200MM",,39269090,"4201864 FOXLUX 1 UN -4,00","0,29"
Usuário CLAUDIO FILHO,,,1 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 2
52643 - ACABAMENTO ACB P CS 50,"84818019 ACB P CS 50 ICO METAL 1 UN -2,00","38,19"
29262 - ACABAMENTO ACB P CSS,"69089000 ICO METAL 1 MT -1,00","98,19"
Usuário CLAUDIO FILHO,2 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 3
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
56553 - ACABAMENTO C-33 P/ TORNEIRA 15002,"84819090 60064 MARCHEZAN 1 UN 14,00","19,69"
52103 - ACABAMENTO CLASSICA - CHROME,"84819010 24552 DOCOL 1 UN 0,00","95,50"
51647 - ACABAMENTO CLASSICA SALVAGUA,"84819010 00451106 DOCOL 1 UN 0,00","79,10"
CHROME,,
56578 - ACABAMENTO CROMADO C50 DECA E,"84819010 090201-21 BLUKIT 1 UN 2,00","36,80"
DOCOL BLISTER,,
56579 - ACABAMENTO CROMADO C52 DECA E,"84819010 091601-21 BLUKIT 1 UN 1,00","48,57"
DOCOL BLISTER,,
52396 - ACABAMENTO DB 1/2¿ A 1¿ (FRIA),"84819010 00527206 DOCOL 1 UN 2,00","108,74"
52395 - ACABAMENTO DB 3/4¿ LOGGICA CR,"84819010 00494106 DOCOL 1 UN 0,00","46,88"
51642 - ACABAMENTO DB 3/4¿ TRIO CR,"84819010 00501906 DOCOL 1 UN 0,00","35,39"
51638 - ACABAMENTO DOCOLBASE 1/2¿ A 1¿,"84819010 69782 DOCOL 1 UN 5,00","110,62"
DOCO,,
56284 - ACABAMENTO P/ VALVULA DESCARGA,"84819010 340348-212 BLUKIT 1 UN 0,00","35,39"
DOCOL,,
51645 - ACABAMENTO P/VALVULA DE,"84819010 DOCOL 1 MT 0,00","72,26"
DESCARGA SA,,
55428 - ACABAMENTO P/VALVULA DESCARGA,"84819010 340310-21 BLUKIT 1 UN 0,00","80,18"
CROD,,
52642 - ACABAMENTO REG GAVET 4901C41,"84819010 7030182 LORENZETTI 1 UN 1,00","32,63"
54176 - ACABAMENTO REG GAVETA 4900 C33,"84819010 7030307 LORENZETTI 1 UN 2,00","60,96"
55491 - ACABAMENTO REG IMPER 3393 C50 CR,"84819090 4807126 MARTINS 1 UN 1,00","36,71"
55490 - ACABAMENTO REG IMPER.3393 C23 CR,"84819090 4807125 MARTINS 1 UN 1,00","22,23"
52646 - ACABAMENTO REG PRES/GAVET 4901,"84819010 7030311 LORENZETTI 1 UN 0,00","29,74"
C30,,
52644 - ACABAMENTO REG PRESSA/GAVET,"84819010 7030297 LORENZETTI 1 UN 0,00","38,63"
4901C29,,
52645 - ACABAMENTO REG PRESSA/GAVET,"84819010 7030305 LORENZETTI 1 UN 0,00","48,73"
4901C33,,
56424 - ACABAMENTO REGISTRO C-33 CROM,"84819090 21383 NOVA CASA 1 UN 6,00","35,16"
3/4 REAL METAIS,,
53353 - ACABAMENTO UNIVER VALVULA,"84818019 VDAU2 ASTRA S/A 1 UN 0,00","52,74"
DESCAR CR,,
52285 - ACABAMENTO VALVULA CROM/PRET,"84819010 340307-26 BLUKIT 1 UN 0,00","52,19"
DOCOL,,
56600 - ACABAMENTO VALVULA DOCOL CROM -,"84819010 NOVA CASA 1 UN 2,00","115,78"
BLISTER,,
13668 - ACESSORIO BANHEIRO ESSENCE,"39229000 06123 DURIM 1 UN 3,00","52,85"
BRANCO,,
30112 - ACESSORIO BANHEIRO ESSENCE,"39229000 06124 DURIM 1 UN 0,00","52,85"
PRETO,,
53739 - ACIDO MURIATICO 1LT,"28061010 971456 NOVA DISTR 1 UN 9,00","15,06"
52025 - ACOPLAM. INDUST 2P+T 16A 200/250V,"85366910 ACO0216 HJ COMPONE 1 UN 0,00","25,22"
52026 - ACOPLAM. INDUST 2P+T 32A 200/250V,"85366910 ACO0232 HJ COMPONE 1 UN 0,00","31,78"
52027 - ACOPLAM. INDUST 3P+T 16A 380/440V,"85366910 ACO0316 HJ COMPONE 1 UN 0,00","30,99"
52028 - ACOPLAM. INDUST 3P+T 32A 380/440,"85366910 ACO0332 HJ COMPONE 1 UN 3,00","35,05"
53703 - ADAPT C/ROSCA INT P/IRRIG. 1/2¿,"39174090 JARI12 JAPI 1 UN 4,00","2,56"
53704 - ADAPT C/ROSCA INT P/IRRIG. 3/4¿,"39174090 024102 TAMBASA AT 1 UN 287,00","2,56"
53561 - ADAPT IRRIGACAO 1  INICIAL RANHUR,"84248229 225100 NEGRAO 1 UN 5,00","6,91"
53755 - ADAPT P/IRRIGACAO 1/2,"39174090 JAI12 JAPI 1 UN 23,00","1,60"
53569 - ADAPT P/IRRIGACAO 1/2¿X3/8¿,"39174090 285218 KRONA 1 UN 41,00","0,81"
5452 - ADAPT P/IRRIGACAO 1X1/2.,"39174090 KRONA 1 UN 0,00","28,59"
53716 - ADAPT P/IRRIGACAO 1¿X3/4¿,"39174090 20044 KRONA 1 UN 0,00","2,07"
53715 - ADAPT P/IRRIGACAO 3/4¿X1/2¿,"39174090 NAI1912 JAPI 1 UN 24,00","1,65"
55254 - ADAPTADOR 1 EXT AZUL,"39174090 002426 PLASBOHN 1 UN 90,00","1,71"
55253 - ADAPTADOR 1/2 EXT AZUL,"39174090 002424 PLASBOHN 1 UN 198,00","0,68"
55252 - ADAPTADOR 1/2 INT AZUL,"39174090 002422 PLASBOHN 1 UN 47,00","0,79"
54978 - ADAPTADOR 1/4 H FIL/TOR,"84818019 ADP 1/4 H FIL/T ICO METAL 1 UN 7,00","36,37"
Usuário CLAUDIO FILHO,3 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 4
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
56519 - ADAPTADOR 1/4 V FIL/TOR,"84818019 ADP 1/4 V FIL/TOR ICO METAL 1 UN 1,00","68,28"
"",E,
55251 - ADAPTADOR 3/4 INT AZUL,"39174090 002423 PLASBOHN 1 UN 39,00","1,24"
54979 - ADAPTADOR 9.5 H FIL/TOR,"84818019 ADP 9.5 H FIL/T ICO METAL 1 UN 2,00","31,73"
55742 - ADAPTADOR C/FRANGE 110MM X 4,"39174090 0349 KRONA 1 UN 10,00","432,24"
52380 - ADAPTADOR C/FRANGE ROSQU. BR,"39174090 021001 AMANCO 1 UN -4,00","17,79"
1/2¿,,
51589 - ADAPTADOR C/FRANGE ROSQU. BR,"39174090 4807704 TAMBASA AT 1 UN 3,00","21,29"
3/4¿,,
10634 - ADAPTADOR C/FRANGE VIQUO DURIM,"39174090 33391 KRONA 1 UN 66,00","14,78"
20MM,,
10626 - ADAPTADOR C/FRANGE VIQUO DURIM,"39174090 4005.127.025 KRONA 1 UN 45,00","13,27"
25MM,,
10618 - ADAPTADOR C/FRANGE VIQUO DURIM,"39174090 419044 FORTLEV 1 UN 23,00","15,65"
32MM,,
10600 - ADAPTADOR C/FRANGE VIQUO DURIM,"39174090 0344 KRONA 1 UN 26,00","31,59"
40MM,,
10588 - ADAPTADOR C/FRANGE VIQUO DURIM,"39174090 168698 KRONA 1 UN 38,00","25,41"
50MM,,
10596 - ADAPTADOR C/FRANGE VIQUO DURIM,"39174090 0346 KRONA 1 UN 10,00","66,48"
60MM,,
51943 - ADAPTADOR C/FRANGE VIQUO DURIM,"39174090 0347 KRONA 1 UN 2,00","65,67"
75MM,,
53510 - ADAPTADOR COMP.MACHO POLIPRO,"39174090 210021 APUA 1 UN 0,00","8,44"
20X3/4,,
44059 - ADAPTADOR CONVERSOR 2P+T 10A,"85366990 57400/098 TRAMONTINA 1 UN 12,00","8,01"
"55628 - ADAPTADOR MANG - ADAP 9,5 V","84818019 ADP 9.5 V FIL/T ICO METAL 1 UN 2,00","57,69"
FIL/TOR,,
56495 - ADAPTADOR P/ DESLOCAMENTO DE,"39174090 290421-41 BLUKIT 1 UN 5,00","17,47"
VASO SANITARIO,,
4391 - ADAPTADOR P/DISCO DE BORRACHA,"84679900 97515 ORMEL 1 UN 1,00","19,21"
52373 - ADAPTADOR P/ENGATE RAPIDO,"39174090 4000.224.075 TRAMONTINA 1 UN 64,00","5,70"
3/4¿X1/2¿,,
56277 - ADAPTADOR P/FILTRO 3/8 SAIDA 1/2,"74122000 310127-21 BLUKIT 1 UN 3,00","102,56"
ESPIGAO 1/4 BLI,,
55707 - ADAPTADOR P10 STEREO P/ 2 JACK,"85366990 3005.051.000 TAMBASA AT 1 UN 19,00","7,89"
RCA,,
55342 - ADAPTADOR PARA FURADEIRA PRATIK,"84679900 507466 MARTINS 1 UN 21,00","26,31"
53512 - ADAPTADOR PLUS MANDRIL 1/2¿X20,"84669340 5738 NOVA DISTR 1 UN 0,00","10,11"
54325 - ADAPTADOR PRESSAO PEAD 20X1/2¿,"39174090 AMANCO 1 UN 0,00","4,20"
54326 - ADAPTADOR PRESSAO PEAD 20X3/4¿,"39174090 AMANCO 1 UN 0,00","4,32"
54327 - ADAPTADOR PRESSAO PEAD 25X1/2¿,"39174090 RACAZA 1 UN 0,00","8,60"
54328 - ADAPTADOR PRESSAO PEAD 25X3/4¿,"39174090 RACAZA 1 UN 0,00","8,60"
54329 - ADAPTADOR PRESSAO PEAD 32X3/4¿,"39174090 RACAZA 1 UN 0,00","14,22"
39039 - ADAPTADOR PRETO 1/2 ROSCA INT,"69089000 KRONA 1 MT 0,00","20,37"
52724 - ADAPTADOR PRETO 3/4 ROSCA INT,"69089000 56032-1 KRONA 1 MT -1,00","30,31"
1066 - ADAPTADOR PRETO EXT. 3/4¿,"39174090 6087 TAMBASA AT 1 UN 492,00","1,62"
34975 - ADAPTADOR PRETO INT 3/8X1/2,"39174090 METAIS AME 1 UN 27,00","0,59"
1082 - ADAPTADOR PRETO INT. 1.1/2¿,"39174090 024030 TAMBASA AT 1 UN 181,00","3,30"
1090 - ADAPTADOR PRETO INT. 1.1/4,"39174090 024029 NEGRAO 1 UN 54,00","3,44"
1058 - ADAPTADOR PRETO INT. 1/2¿,"39174090 024101 TAMBASA AT 1 UN 211,80","1,60"
5479 - ADAPTADOR PRETO INT. 1X1/2,"39174090 JAPI 1 UN -1,00","0,65"
1074 - ADAPTADOR PRETO INT. 1¿,"39174090 024103 TAMBASA AT 1 UN -14,00","1,99"
1104 - ADAPTADOR PRETO INT. 2¿,"39174090 24031 TAMBASA AT 1 UN 31,00","3,22"
53570 - ADAPTADOR PRETO INT. 3/4¿,"39174090 33938 KRONA 1 UN 223,94","1,11"
